Date,Price,Open,High,Low,Vol.,Change %
09/14/2022,255.72,255,258.27,254.37,2.75M,0.55%
09/13/2022,254.33,257.74,258.95,253.67,2.60M,-2.32%
09/12/2022,260.37,260,261.4,259.42,2.20M,0.33%
09/09/2022,259.52,260.26,260.74,258.21,2.01M,-0.22%
09/08/2022,260.08,257.85,261.08,257.33,2.45M,0.64%
09/07/2022,258.42,255.14,259.82,254.96,4.19M,1.58%
09/06/2022,254.39,254.47,256.73,253.38,2.65M,-0.05%
09/02/2022,254.51,257.41,258.58,253.36,1.79M,-0.76%
09/01/2022,256.47,251.82,256.53,251.76,2.58M,1.66%
08/31/2022,252.28,254.17,255.68,252.2,3.12M,-0.48%
08/30/2022,253.49,256,256.72,252.57,2.05M,-0.85%
08/29/2022,255.66,255.5,256.71,254.59,2.02M,-0.50%
08/26/2022,256.95,262.8,263.2,256.39,2.36M,-2.14%
08/25/2022,262.56,261.99,262.68,260.2,1.33M,0.65%
08/24/2022,260.86,260.71,262,259.86,1.78M,0.12%
08/23/2022,260.54,262.62,263.35,260.53,2.21M,-0.92%
08/22/2022,262.95,264.5,265.79,262.37,1.99M,-1.35%
08/19/2022,266.54,265.94,267.75,265.54,1.83M,-0.01%
08/18/2022,266.58,266,267.36,265.42,1.59M,-0.09%
08/17/2022,266.82,265.96,267.97,265.58,1.70M,0.20%
08/16/2022,266.29,265.04,267.13,264.26,1.83M,0.32%
08/15/2022,265.44,262.21,265.62,261.25,2.34M,1.24%
08/12/2022,262.18,259.55,262.51,259.55,1.53M,1.12%
08/11/2022,259.28,263.2,263.27,258.63,2.01M,-0.80%
08/10/2022,261.36,262,263.71,260.5,2.97M,0.50%
08/09/2022,260.06,256.9,260.2,256.36,2.32M,1.27%
08/08/2022,256.8,260,260.91,255.34,2.25M,-0.94%
08/05/2022,259.23,259.64,260.03,257.07,1.82M,-0.54%
08/04/2022,260.64,261.7,262.18,258.69,2.09M,-0.55%
08/03/2022,262.09,261.05,262.92,259.76,2.31M,0.40%
08/02/2022,261.05,264.62,265.45,260.89,2.38M,-1.20%
08/01/2022,264.23,262.54,265.46,262.41,2.38M,0.33%
07/29/2022,263.37,263.65,264.35,262.1,2.65M,-0.03%
07/28/2022,263.46,258.8,264,257.56,2.85M,1.77%
07/27/2022,258.89,255.8,259.91,254.69,2.72M,0.70%
07/26/2022,257.09,249.56,259.22,248.7,5.27M,2.68%
07/25/2022,250.38,254.57,254.8,248.65,2.86M,-1.42%
07/22/2022,253.99,253.75,254.53,252.45,2.23M,0.21%
07/21/2022,253.47,253.99,254.8,252.32,2.06M,-0.44%
07/20/2022,254.58,256.78,256.91,253.47,2.18M,-0.75%
07/19/2022,256.5,253.88,256.62,252.97,2.18M,1.62%
07/18/2022,252.42,255.24,255.59,252.07,2.16M,-1.02%
07/15/2022,255.01,254.02,256.39,253.45,2.63M,0.95%
07/14/2022,252.6,249.89,253.1,249.62,2.37M,-0.03%
07/13/2022,252.67,248.96,254.8,248.26,2.21M,0.47%
07/12/2022,251.48,252.97,255.62,250.76,2.11M,-0.71%
07/11/2022,253.28,252.08,255.4,252.08,1.48M,0.02%
07/08/2022,253.24,252.6,254.62,252.32,1.45M,0.12%
07/07/2022,252.94,253.26,254.92,251.18,2.40M,0.59%
07/06/2022,251.46,252.47,252.86,249.37,1.95M,-0.33%
07/05/2022,252.29,251.15,253,249.66,2.39M,-0.26%
07/01/2022,252.96,246.35,253.14,246,2.53M,2.46%
06/30/2022,246.88,248.25,248.59,245.45,2.79M,-0.35%
06/29/2022,247.74,246.14,248.87,245.1,3.00M,2.02%
06/28/2022,242.83,247.06,249.96,242.52,2.38M,-1.70%
06/27/2022,247.03,247.9,248.77,246.57,2.06M,-0.35%
06/24/2022,247.9,245.26,248,244.49,3.10M,1.77%
06/23/2022,243.58,243.7,245.09,240.46,1.94M,0.21%
06/22/2022,243.06,238.79,244.55,238.36,3.05M,1.45%
06/21/2022,239.59,236.22,240.1,234.14,3.26M,2.22%
06/17/2022,234.38,234.22,235.49,232.17,7.24M,-0.34%
06/16/2022,235.19,236.08,237.32,233.82,3.27M,-1.55%
06/15/2022,238.9,239.86,241.58,236.12,3.15M,0.06%
06/14/2022,238.76,239.96,242.9,238.62,3.56M,0.12%
06/13/2022,238.47,232.79,240.1,232.68,4.70M,0.46%
06/10/2022,237.38,239.18,239.51,237.16,1.99M,-1.97%
06/09/2022,242.16,243.62,246,242.03,2.68M,-1.40%
06/08/2022,245.61,247.9,248.48,244.89,2.10M,-1.34%
06/07/2022,248.94,246,249.79,245.53,2.78M,0.35%
06/06/2022,248.07,249.08,249.52,247.33,1.57M,-0.12%
06/03/2022,248.36,248.43,250.27,248.17,1.84M,-0.81%
06/02/2022,250.38,249.6,250.44,246.22,2.09M,0.44%
06/01/2022,249.28,253.19,253.42,248.19,2.26M,-1.16%
05/31/2022,252.21,250,254.28,248.63,3.92M,0.13%
05/27/2022,251.87,249.5,251.87,248.78,2.06M,1.52%
05/26/2022,248.09,246,249.33,245.59,1.97M,1.67%
05/25/2022,244.01,242.58,245.7,241.59,2.64M,-0.21%
05/24/2022,244.52,237.5,245.8,237.45,5.26M,2.74%
05/23/2022,238,235.76,238.89,233.5,3.05M,1.75%
05/20/2022,233.91,231.38,234.06,228.59,3.21M,2.14%
05/19/2022,229,229.5,232.15,228.34,3.52M,-0.89%
05/18/2022,231.05,239.46,240.08,230.37,3.95M,-4.38%
05/17/2022,241.63,246,247,239.46,3.21M,-0.99%
05/16/2022,244.04,244.46,245.47,240.73,2.15M,-0.41%
05/13/2022,245.04,247.15,247.18,242.28,3.26M,0.35%
05/12/2022,244.19,245.32,246.38,241.12,2.86M,-0.10%
05/11/2022,244.43,245.27,246.79,243.21,2.83M,-0.51%
05/10/2022,245.68,248.99,250.88,244.93,3.07M,-0.73%
05/09/2022,247.49,247,249.9,246.79,2.92M,-1.31%
05/06/2022,250.78,248.19,252.45,247.7,2.96M,0.75%
05/05/2022,248.92,252.89,254.49,246.78,2.93M,-2.12%
05/04/2022,254.32,246.16,254.78,246.16,3.29M,3.44%
05/03/2022,245.87,247.39,247.84,242.28,2.56M,-0.31%
05/02/2022,246.64,250.86,251.55,242.26,3.42M,-1.01%
04/29/2022,249.16,254.28,254.85,248.8,3.39M,-1.98%
04/28/2022,254.19,249.94,256.38,248.08,3.55M,2.85%
04/27/2022,247.14,247.98,250.97,247.05,2.71M,-0.58%
04/26/2022,248.58,250.13,252.41,248.33,2.95M,-1.70%
04/25/2022,252.88,249.45,253.13,247.93,2.52M,1.08%
04/22/2022,250.17,255,255,249.94,2.64M,-1.99%
04/21/2022,255.25,257.65,259.61,254.88,2.48M,-0.23%
04/20/2022,255.85,256,257.79,254.82,2.28M,0.18%
04/19/2022,255.4,250.04,255.96,250.04,2.32M,1.73%
04/18/2022,251.06,249.63,252.49,249.13,1.43M,0.22%
04/14/2022,250.51,251.33,253.73,250.43,2.11M,-0.33%
04/13/2022,251.33,249.36,251.66,249.02,2.13M,0.87%
04/12/2022,249.17,250.73,252.29,248.8,2.73M,-0.51%
04/11/2022,250.45,251.25,252.94,249.93,2.33M,-0.40%
04/08/2022,251.46,253.04,255.07,250.92,2.55M,-1.14%
04/07/2022,254.36,250.79,255.47,249.54,4.04M,1.15%
04/06/2022,251.46,247.64,252.38,245.98,2.89M,1.19%
04/05/2022,248.51,246.1,249.74,245.43,2.53M,0.68%
04/04/2022,246.83,246.79,247.26,242.38,2.50M,-0.97%
04/01/2022,249.25,248.12,249.43,246.18,2.02M,0.80%
03/31/2022,247.28,249.72,251.35,247.28,3.80M,-0.70%
03/30/2022,249.03,247.51,250.5,247.51,2.23M,0.35%
03/29/2022,248.17,246.35,248.65,244.77,2.66M,2.15%
03/28/2022,242.94,241.91,242.95,239.86,2.04M,0.56%
03/25/2022,241.58,240.54,241.85,239.43,2.14M,0.55%
03/24/2022,240.26,237.56,241.04,236.47,2.34M,1.75%
03/23/2022,236.12,237.13,238.01,235.95,2.20M,-0.84%
03/22/2022,238.12,237.04,238.44,236.47,2.94M,1.19%
03/21/2022,235.32,239.58,240.09,234.07,3.70M,-1.51%
03/18/2022,238.92,237.23,239.19,235.99,5.34M,0.61%
03/17/2022,237.47,236.44,237.47,234.54,3.75M,-0.28%
03/16/2022,238.14,234.87,238.21,234.36,4.17M,2.39%
03/15/2022,232.57,227.98,234.56,227.98,5.09M,2.83%
03/14/2022,226.18,226.78,228.44,223.16,4.44M,-0.30%
03/11/2022,226.87,224.74,229.11,224.19,6.13M,2.19%
03/10/2022,222,220.2,222.05,217.68,5.44M,-0.21%
03/09/2022,222.47,226.79,227.25,222.01,5.63M,-0.14%
03/08/2022,222.79,224.33,229.74,222.2,5.26M,-0.69%
03/07/2022,224.33,234.31,234.31,224.19,5.43M,-4.87%
03/04/2022,235.81,234.62,236.39,231.64,4.19M,-0.35%
03/03/2022,236.65,241.01,242.34,235.68,4.71M,-1.78%
03/02/2022,240.94,240.85,242.74,239.61,4.48M,0.55%
03/01/2022,239.63,242.3,243.6,238.3,3.91M,-2.10%
02/28/2022,244.77,244.44,245.72,242.36,4.41M,-1.88%
02/25/2022,249.45,246,249.53,243.63,4.55M,1.80%
02/24/2022,245.03,242.93,245.58,239.61,4.86M,-1.11%
02/23/2022,247.79,253.53,253.85,247.08,3.50M,-1.94%
02/22/2022,252.7,250.01,254.7,249.6,3.98M,0.84%
02/18/2022,250.6,250.34,252.29,250.01,2.81M,-0.13%
02/17/2022,250.93,251.48,252.88,250,2.83M,-0.85%
02/16/2022,253.09,253.77,254.6,251.2,2.94M,-0.28%
02/15/2022,253.81,254.82,256.92,253.56,2.17M,0.17%
02/14/2022,253.39,255.91,256.25,251.68,2.83M,-0.69%
02/11/2022,255.16,256.87,258.76,254.73,3.59M,-0.67%
02/10/2022,256.87,258.6,260.44,255.97,3.25M,-1.15%
02/09/2022,259.86,261.99,262.88,259.41,2.38M,-0.08%
02/08/2022,260.08,260.5,262.38,259.1,2.92M,0.09%
02/07/2022,259.85,261,261.58,259.17,1.96M,-0.08%
02/04/2022,260.06,259.87,261.73,257.79,1.99M,-0.22%
02/03/2022,260.64,262,262.8,260.07,2.24M,-0.63%
02/02/2022,262.28,258.83,262.61,258.49,2.37M,1.27%
02/01/2022,258.99,259.75,259.9,255.58,2.50M,-0.18%
01/31/2022,259.45,255.02,259.5,254.44,3.17M,1.31%
01/28/2022,256.09,250,256.35,247.16,3.83M,2.95%
01/27/2022,248.74,249.6,252.46,245.25,5.20M,-0.44%
01/26/2022,249.85,253,254.21,247.86,3.84M,-0.33%
01/25/2022,250.68,250.83,252.53,247.07,3.91M,-1.16%
01/24/2022,253.61,252.38,253.92,247.78,5.16M,-0.38%
01/21/2022,254.59,254.04,258.46,253.69,3.74M,0.58%
