Date,Price,Open,High,Low,Vol.,Change %
09/27/2024,156.32,155.37,157.33,154.39,7.64M,1.13%
09/26/2024,154.58,153.94,157.33,152.66,11.41M,1.55%
09/25/2024,152.22,156.42,157.22,152.04,9.59M,-2.30%
09/24/2024,155.81,155.8,155.9,153.69,7.41M,-0.31%
09/23/2024,156.3,153,158.43,151.65,12.48M,1.96%
09/20/2024,153.29,154.01,154.64,152.6,13.92M,-0.84%
09/19/2024,154.59,157,157.18,154.27,9.57M,-0.34%
09/18/2024,155.11,157,158.45,154.8,7.71M,-0.82%
09/17/2024,156.39,156.17,158.88,155.14,8.12M,0.54%
09/16/2024,155.55,156.25,157.76,154.02,9.96M,-0.78%
09/13/2024,156.77,159.78,162.89,155.6,19.00M,-3.69%
09/12/2024,162.77,159.42,163.5,159.06,4.76M,0.89%
09/11/2024,161.33,159.79,161.87,156.1,6.66M,0.79%
09/10/2024,160.07,162.61,163.9,157.93,6.37M,-1.74%
09/09/2024,162.91,162.3,164.55,161.11,9.09M,3.36%
09/06/2024,157.62,162.5,162.85,156.7,7.33M,-2.79%
09/05/2024,162.15,164.15,164.62,160.1,4.72M,-0.66%
09/04/2024,163.22,160.28,166.7,160.28,7.32M,1.37%
09/03/2024,161.02,167.03,169.6,158.3,17.93M,-7.32%
08/30/2024,173.74,173.14,174.36,171.49,4.15M,0.86%
08/29/2024,172.26,171.71,175.28,170.62,4.12M,0.91%
08/28/2024,170.71,172.3,174.25,170.15,4.55M,-1.35%
08/27/2024,173.05,173.62,173.93,171.25,3.30M,-0.25%
08/26/2024,173.48,173,174.91,172.3,4.03M,-0.85%
08/23/2024,174.96,173.88,176.92,173.17,4.41M,1.27%
08/22/2024,172.76,173,175.21,172.3,2.79M,-0.39%
08/21/2024,173.43,173,174.2,171.04,4.49M,0.77%
08/20/2024,172.1,176.49,177.5,170.04,9.55M,-4.20%
08/19/2024,179.64,180.04,180.7,177.63,3.89M,-0.19%
08/16/2024,179.99,176.3,180.51,176.3,6.73M,2.03%
08/15/2024,176.41,170,176.56,169.98,5.94M,4.69%
08/14/2024,168.5,167.88,169.75,167.33,3.85M,-0.15%
08/13/2024,168.76,164.5,168.88,162.62,6.48M,2.82%
08/12/2024,164.13,167.73,168.05,163.52,4.72M,-2.25%
08/09/2024,167.91,168.39,169.85,166.9,3.64M,-0.57%
08/08/2024,168.87,164.23,169.35,164,6.06M,3.45%
08/07/2024,163.24,167,167.98,162.99,5.19M,-1.09%
08/06/2024,165.04,168.89,169.19,163.39,5.82M,-1.19%
08/05/2024,167.03,162.52,167.68,162.5,9.26M,-1.72%
08/02/2024,169.95,175.22,175.46,167.25,11.74M,-4.69%
08/01/2024,178.31,190,191.17,176.69,13.89M,-6.45%
07/31/2024,190.6,189.88,196.95,183.86,15.42M,2.00%
07/30/2024,186.86,186.1,188.13,185.15,4.79M,0.77%
07/29/2024,185.43,186.7,187.08,183.83,3.61M,-0.78%
07/26/2024,186.89,185.86,189.59,184.63,6.27M,1.38%
